age,location_type,driving_points,years_driving_experience,vehicle_type,annual_mileage,credit_score,previous_claims,marital_status,policy_premium
56,Urban,3,38,SUV,5235,754,1,Married,1678.87
69,Urban,2,51,Truck,12659,626,0,Single,1334.46
46,Suburban,3,28,Sedan,18499,722,0,Single,1280.81
32,Urban,0,14,SUV,19061,687,1,Single,1510.37
60,Urban,2,42,Sedan,10034,668,0,Single,1052.08
25,Urban,0,7,Sedan,17682,709,1,Married,1392.46
38,Urban,0,20,Truck,10954,703,0,Single,1171.33
56,Urban,2,38,Sports,12501,659,1,Single,1866.71
36,Urban,1,18,Sedan,12712,657,0,Married,1104.82
40,Suburban,0,22,Truck,14435,621,0,Married,1121.43
28,Urban,1,10,Truck,18005,715,1,Married,1731.33
28,Urban,2,10,Truck,15058,637,2,Married,2121.54
41,Rural,3,23,Sedan,13495,700,1,Single,1491.29
70,Urban,4,52,Sports,17869,729,0,Married,1732.83
53,Suburban,2,35,Sedan,10789,710,2,Married,1675.48
57,Urban,2,39,Sedan,13691,663,0,Single,1218.47
41,Urban,2,23,Sedan,17983,745,0,Married,1225.64
20,Urban,0,2,SUV,16117,679,0,Single,1321.68
39,Urban,2,21,Sedan,12134,633,0,Married,1385.47
70,Urban,3,52,Sedan,7948,685,0,Married,847.65
19,Urban,1,1,Sedan,15243,729,1,Married,1534.72
41,Urban,6,23,Truck,7685,666,0,Married,1787.69
61,Urban,1,43,Truck,13149,743,2,Married,1378.29
47,Urban,3,29,Sedan,18715,661,0,Single,1380.4
55,Urban,1,37,Truck,16387,668,1,Single,1554.77
19,Urban,1,1,Truck,5905,647,0,Single,1409.15
38,Suburban,3,20,Truck,14801,734,1,Single,1637.19
50,Suburban,3,32,Sedan,12723,697,0,Married,1235.98
29,Urban,3,11,SUV,8905,651,0,Single,1644.34
39,Suburban,1,21,Sports,15340,680,0,Single,1642.39
61,Suburban,6,43,SUV,12033,546,0,Married,1855.84
42,Urban,0,24,Sedan,12057,738,1,Married,1042.03
66,Rural,1,48,SUV,14496,691,0,Single,1085.95
44,Rural,4,26,SUV,11496,579,0,Single,1618.97
59,Urban,0,41,SUV,14382,627,1,Single,1344.3
45,Urban,5,27,Sedan,11626,678,0,Married,1472.05
33,Rural,2,15,Sedan,11846,634,1,Single,1492.28
32,Suburban,1,14,Truck,17971,739,0,Married,1213.35
64,Urban,0,46,Truck,18378,720,0,Single,1141.08
68,Urban,0,50,Sedan,7165,717,0,Single,653.38
61,Urban,4,43,Sports,16988,569,0,Married,1909.58
72,Urban,2,54,Sedan,19594,673,1,Single,1487.99
69,Suburban,2,51,SUV,20229,665,0,Single,1336.46
74,Urban,1,56,Truck,16081,652,0,Single,1108.08
20,Urban,0,2,Truck,9770,679,0,Married,1335.69
54,Suburban,2,36,Sports,16519,643,0,Married,1587.52
68,Urban,1,50,Sedan,10522,710,1,Single,1142.22
24,Urban,3,6,Truck,12628,738,1,Single,1916.92
38,Suburban,0,20,Sedan,15532,734,0,Single,990.51
26,Rural,1,8,Truck,10780,693,0,Married,1117.27
56,Suburban,1,38,Truck,9414,799,0,Married,949.95
35,Suburban,4,17,SUV,15863,756,0,Married,1317.46
21,Urban,3,3,Sedan,21468,694,0,Married,1878.23
42,Urban,2,24,Truck,18972,675,1,Single,1555.48
31,Suburban,2,13,Sedan,16828,766,0,Single,1132.71
67,Urban,2,49,Sedan,17916,750,0,Single,1043.65
26,Urban,2,8,Truck,16550,629,0,Single,1622.1
43,Urban,2,25,SUV,15799,754,0,Single,1452.63
70,Urban,1,52,Truck,17594,692,0,Married,980.13
19,Urban,0,1,Sedan,8526,656,0,Married,1217.97
37,Urban,4,19,Sedan,14797,601,2,Married,2146.63
45,Urban,0,27,Truck,13676,686,0,Single,1145.65
64,Urban,3,46,SUV,14315,699,1,Married,1607.75
24,Rural,1,6,Sedan,12154,779,0,Married,951.1
61,Suburban,2,43,Truck,16081,747,0,Married,1017.72
25,Suburban,2,7,SUV,10728,670,0,Single,1394.91
64,Suburban,5,46,SUV,11864,719,0,Single,1466.19
52,Urban,1,34,SUV,11384,741,0,Single,1207.63
31,Urban,1,13,Truck,17455,704,0,Single,1318.0
34,Suburban,5,16,Truck,13953,670,0,Married,1645.42
